compound_node_id,treats_degree,degree_bucket,fold
COMPOUND_3b9dcc40035b,1,1,0
COMPOUND_f76c522781a2,1,1,0
COMPOUND_4532c1e7d544,1,1,0
COMPOUND_cc2df431b6eb,1,1,0
COMPOUND_c303e6c3e39b,1,1,0
COMPOUND_6b9395423da1,1,1,0
COMPOUND_960b05ddaea9,3,2-3,0
COMPOUND_e2c55cf429c4,2,2-3,0
COMPOUND_4d540add8c51,2,2-3,0
COMPOUND_b5928def5962,2,2-3,0
COMPOUND_20811ee37b5d,2,2-3,0
COMPOUND_9d26b836a162,2,2-3,0
COMPOUND_9767e271af6c,2,2-3,0
COMPOUND_bb49611aa259,6,4+,0
COMPOUND_b80cf9101aad,6,4+,0
COMPOUND_4642bcc1a129,6,4+,0
COMPOUND_02d13acc4b8d,4,4+,0
COMPOUND_049a21ae131b,1,1,1
COMPOUND_8e01bf7fcba4,1,1,1
COMPOUND_f8496d5b44cf,1,1,1
COMPOUND_ec79ef21ed09,1,1,1
COMPOUND_72dbc3a95fef,1,1,1
COMPOUND_8cb47c5aaa27,1,1,1
COMPOUND_806ebd096539,2,2-3,1
COMPOUND_3d95df452764,2,2-3,1
COMPOUND_e75db4b47277,2,2-3,1
COMPOUND_dfb598ee9b2f,3,2-3,1
COMPOUND_06f3d2b81a9e,2,2-3,1
COMPOUND_709eef9436bc,3,2-3,1
COMPOUND_43297ffa8c06,2,2-3,1
COMPOUND_a3040ad64318,8,4+,1
COMPOUND_56237a7cf874,19,4+,1
COMPOUND_e205c1cbba2e,6,4+,1
COMPOUND_2b70dbe4c323,5,4+,1
COMPOUND_3bcd8ad0daaf,1,1,2
COMPOUND_87ee03e63f60,1,1,2
COMPOUND_e14a6138b047,1,1,2
COMPOUND_d85ccf8aca8c,1,1,2
COMPOUND_a0901a576890,1,1,2
COMPOUND_1dd467f7f991,1,1,2
COMPOUND_ac63052cee8e,2,2-3,2
COMPOUND_5adc4b7903fe,2,2-3,2
COMPOUND_cf8b8ee8302a,2,2-3,2
COMPOUND_073fa3a6a71f,2,2-3,2
COMPOUND_d4cfc4097a8c,2,2-3,2
COMPOUND_3830239d12ca,2,2-3,2
COMPOUND_dac1a6903e58,4,4+,2
COMPOUND_8951771cfa60,4,4+,2
COMPOUND_71c41f10aca6,7,4+,2
COMPOUND_2c62f79ad8da,5,4+,2
COMPOUND_ebc3153baaef,1,1,3
COMPOUND_74f13c20a26f,1,1,3
COMPOUND_9004ce399c2a,1,1,3
COMPOUND_7bf90cf99e50,1,1,3
COMPOUND_f8dcc50644f5,1,1,3
COMPOUND_ad0c3803d534,1,1,3
COMPOUND_dca0e66d520e,2,2-3,3
COMPOUND_642328155fbf,2,2-3,3
COMPOUND_66c81a6de0b7,2,2-3,3
COMPOUND_899cf06b47e4,2,2-3,3
COMPOUND_87dc236a64a3,3,2-3,3
COMPOUND_6d9123c8993a,2,2-3,3
COMPOUND_fec3fa141c31,5,4+,3
COMPOUND_d8438fe1dea5,16,4+,3
COMPOUND_e87ce6b3a27b,5,4+,3
COMPOUND_15b3a54a521d,5,4+,3
COMPOUND_74a705b2ad84,1,1,4
COMPOUND_2716d44b7024,1,1,4
COMPOUND_b198011eb37b,1,1,4
COMPOUND_3f72e8ba210b,1,1,4
COMPOUND_558ad70336f8,1,1,4
COMPOUND_02f3fd2897ea,1,1,4
COMPOUND_e05e5cec2a2d,2,2-3,4
COMPOUND_04fe87779405,3,2-3,4
COMPOUND_149c147b0d93,3,2-3,4
COMPOUND_ee468af67297,2,2-3,4
COMPOUND_469d25ddc65b,2,2-3,4
COMPOUND_5cbe8250fe43,2,2-3,4
COMPOUND_ded323257a5c,5,4+,4
COMPOUND_47fe4ec9130d,5,4+,4
COMPOUND_34176e1edb1b,6,4+,4
COMPOUND_5cf2dbc6a293,5,4+,4
