node_id,node_type,degree
AYUR_f7815a171b9c,Ayurvedic_Concept,7
AYUR_73130f25caa9,Ayurvedic_Concept,1
AYUR_cb1f2738da7c,Ayurvedic_Concept,1
AYUR_2903fe916c6c,Ayurvedic_Concept,1
AYUR_5461330fd855,Ayurvedic_Concept,1
AYUR_50a9712915e8,Ayurvedic_Concept,1
AYUR_9b904ce76c10,Ayurvedic_Concept,1
AYUR_4bf2210f81d7,Ayurvedic_Concept,1
AYUR_b5c8588c36db,Ayurvedic_Concept,1
AYUR_e44eb31a8f24,Ayurvedic_Concept,1
AYUR_6d964a7e9b3a,Ayurvedic_Concept,3
AYUR_748dc9edc3d5,Ayurvedic_Concept,1
AYUR_f6ffac67de3e,Ayurvedic_Concept,7
AYUR_bbad010af555,Ayurvedic_Concept,1
AYUR_8d6c29cbe2b7,Ayurvedic_Concept,1
AYUR_9ac92e735efc,Ayurvedic_Concept,1
AYUR_a5f59751ad01,Ayurvedic_Concept,1
AYUR_eecd44a07a3c,Ayurvedic_Concept,1
AYUR_70e066ae350d,Ayurvedic_Concept,6
AYUR_94811d6ae23a,Ayurvedic_Concept,7
AYUR_64316cc7d092,Ayurvedic_Concept,1
AYUR_818e75a9b5b3,Ayurvedic_Concept,4
AYUR_9a5462774007,Ayurvedic_Concept,1
AYUR_3e1025ca6899,Ayurvedic_Concept,1
AYUR_e84da582cb42,Ayurvedic_Concept,1
AYUR_9901b4cc68d2,Ayurvedic_Concept,6
AYUR_67ddb3acdf5a,Ayurvedic_Concept,1
AYUR_5939d9e1345e,Ayurvedic_Concept,10
AYUR_fd26f2b729c8,Ayurvedic_Concept,1
AYUR_66adb99ae174,Ayurvedic_Concept,3
AYUR_03d5ea50ee20,Ayurvedic_Concept,7
AYUR_466ae68bcc67,Ayurvedic_Concept,1
AYUR_a6f676f73f87,Ayurvedic_Concept,1
AYUR_29ec56a83d1f,Ayurvedic_Concept,1
AYUR_d06c411fe764,Ayurvedic_Concept,1
AYUR_7489f2262283,Ayurvedic_Concept,7
AYUR_2586e2eb5bab,Ayurvedic_Concept,1
AYUR_0a300a724fe4,Ayurvedic_Concept,1
AYUR_a1cf8a47e56d,Ayurvedic_Concept,7
AYUR_cccd4a10f331,Ayurvedic_Concept,1
AYUR_f587f1163ae4,Ayurvedic_Concept,6
AYUR_9690edc2f80c,Ayurvedic_Concept,1
AYUR_35dcce5b42ae,Ayurvedic_Concept,1
AYUR_cce0321fd6bf,Ayurvedic_Concept,3
AYUR_15cd90d2790e,Ayurvedic_Concept,1
AYUR_c2535e18f89c,Ayurvedic_Concept,1
AYUR_a2363ccc3820,Ayurvedic_Concept,1
AYUR_400bbfa298f7,Ayurvedic_Concept,1
AYUR_59ec6d15a4cf,Ayurvedic_Concept,2
AYUR_f4fc50dfe8a7,Ayurvedic_Concept,1
AYUR_47d3202895f7,Ayurvedic_Concept,1
AYUR_28ac19a3b64f,Ayurvedic_Concept,1
AYUR_29bbd5692b2f,Ayurvedic_Concept,2
AYUR_93bfe4423de1,Ayurvedic_Concept,1
AYUR_cc4472667276,Ayurvedic_Concept,1
AYUR_1b256ac4f7bb,Ayurvedic_Concept,1
AYUR_c480176c2128,Ayurvedic_Concept,1
AYUR_b7a35eaed364,Ayurvedic_Concept,7
AYUR_a9eb75b432ab,Ayurvedic_Concept,1
AYUR_c7f6f664ac67,Ayurvedic_Concept,3
AYUR_c2056abf5a33,Ayurvedic_Concept,7
AYUR_c8bfcba520e2,Ayurvedic_Concept,1
AYUR_722b55ddbcec,Ayurvedic_Concept,5
AYUR_dd539ff292c1,Ayurvedic_Concept,9
AYUR_a07687a8c58d,Ayurvedic_Concept,1
AYUR_fd67eb467f3b,Ayurvedic_Concept,7
AYUR_3c2a4b58d2c6,Ayurvedic_Concept,7
AYUR_f54b19468678,Ayurvedic_Concept,1
AYUR_1c531ac6ac6c,Ayurvedic_Concept,1
AYUR_9413d0fb337b,Ayurvedic_Concept,1
AYUR_a5cb731579bd,Ayurvedic_Concept,1
AYUR_f4616c23f2cf,Ayurvedic_Concept,1
AYUR_83d731dfaf55,Ayurvedic_Concept,3
AYUR_9251534c9d10,Ayurvedic_Concept,1
AYUR_e9a3dbc4a483,Ayurvedic_Concept,1
AYUR_1067dc19a6f4,Ayurvedic_Concept,5
AYUR_bcc799a31229,Ayurvedic_Concept,7
AYUR_df0456cf2e62,Ayurvedic_Concept,1
AYUR_db688eee06c5,Ayurvedic_Concept,3
AYUR_0a863fc0038d,Ayurvedic_Concept,1
AYUR_20ed00b52519,Ayurvedic_Concept,1
AYUR_f6dad827be4c,Ayurvedic_Concept,7
AYUR_f70b5476771b,Ayurvedic_Concept,1
AYUR_13c068f4c24c,Ayurvedic_Concept,1
AYUR_d2b4e179928a,Ayurvedic_Concept,7
AYUR_8b3efe6c94fa,Ayurvedic_Concept,2
AYUR_1cdec4e2ef54,Ayurvedic_Concept,1
AYUR_f4174de4f8bd,Ayurvedic_Concept,1
AYUR_9bd421a6e321,Ayurvedic_Concept,1
AYUR_52b99be04c8e,Ayurvedic_Concept,1
AYUR_f97a5b8c43a6,Ayurvedic_Concept,6
AYUR_74558e5a8d5b,Ayurvedic_Concept,7
AYUR_f3a3ee16a108,Ayurvedic_Concept,1
AYUR_f7b145217930,Ayurvedic_Concept,6
AYUR_0cbc419b15a4,Ayurvedic_Concept,1
AYUR_f81bb45c4e65,Ayurvedic_Concept,4
AYUR_b4fd320c1977,Ayurvedic_Concept,1
AYUR_2065685878a9,Ayurvedic_Concept,6
AYUR_b01e0b138c87,Ayurvedic_Concept,1
AYUR_2dc172ecc049,Ayurvedic_Concept,10
AYUR_3d99d9aedf5f,Ayurvedic_Concept,1
AYUR_ff94014a05fc,Ayurvedic_Concept,6
AYUR_cecf170c3833,Ayurvedic_Concept,1
AYUR_ccee9d044d79,Ayurvedic_Concept,1
AYUR_bbe00e707768,Ayurvedic_Concept,1
AYUR_ec9bcb9f519e,Ayurvedic_Concept,1
AYUR_743b07d5fcca,Ayurvedic_Concept,1
AYUR_f02aa02db00b,Ayurvedic_Concept,1
AYUR_1beac3696364,Ayurvedic_Concept,1
AYUR_1f9d97c05975,Ayurvedic_Concept,6
AYUR_757dd33f5600,Ayurvedic_Concept,1
AYUR_816987808f68,Ayurvedic_Concept,1
AYUR_3d8973bb8f9d,Ayurvedic_Concept,3
AYUR_53ac4d5ed10a,Ayurvedic_Concept,1
AYUR_79c8168452dd,Ayurvedic_Concept,1
AYUR_646ac4e93890,Ayurvedic_Concept,6
AYUR_a1778c4b29c7,Ayurvedic_Concept,1
AYUR_ccb719c2d929,Ayurvedic_Concept,2
AYUR_ed4e7f9acaba,Ayurvedic_Concept,1
AYUR_41adbf79c033,Ayurvedic_Concept,3
AYUR_3189ed9f4266,Ayurvedic_Concept,1
AYUR_b125425bcbe6,Ayurvedic_Concept,7
AYUR_f6f08c412693,Ayurvedic_Concept,1
AYUR_bfd6f680849a,Ayurvedic_Concept,3
AYUR_7dd841ac01ed,Ayurvedic_Concept,1
AYUR_b9e9a16b82a7,Ayurvedic_Concept,7
AYUR_5058a718e313,Ayurvedic_Concept,1
AYUR_60b955f7164c,Ayurvedic_Concept,1
AYUR_66a69dde39af,Ayurvedic_Concept,1
COMPOUND_806ebd096539,Compound,13
COMPOUND_ded323257a5c,Compound,18
COMPOUND_960b05ddaea9,Compound,8
COMPOUND_47fe4ec9130d,Compound,8
COMPOUND_ac63052cee8e,Compound,37
COMPOUND_5adc4b7903fe,Compound,37
COMPOUND_dac1a6903e58,Compound,14
COMPOUND_8951771cfa60,Compound,6
COMPOUND_3b9dcc40035b,Compound,10
COMPOUND_c85c098f2c52,Compound,8
COMPOUND_dca0e66d520e,Compound,10
COMPOUND_2716d44b7024,Compound,18
COMPOUND_74a705b2ad84,Compound,10
COMPOUND_43297ffa8c06,Compound,18
COMPOUND_3830239d12ca,Compound,19
COMPOUND_5cbe8250fe43,Compound,9
COMPOUND_02d13acc4b8d,Compound,30
COMPOUND_2b70dbe4c323,Compound,15
COMPOUND_ad0c3803d534,Compound,4
COMPOUND_9767e271af6c,Compound,12
COMPOUND_9d26b836a162,Compound,8
COMPOUND_02f3fd2897ea,Compound,5
COMPOUND_06f3d2b81a9e,Compound,18
COMPOUND_709eef9436bc,Compound,17
COMPOUND_8cb47c5aaa27,Compound,7
COMPOUND_d4cfc4097a8c,Compound,5
COMPOUND_6b9395423da1,Compound,9
COMPOUND_4642bcc1a129,Compound,9
COMPOUND_e205c1cbba2e,Compound,14
COMPOUND_15b3a54a521d,Compound,9
COMPOUND_2c62f79ad8da,Compound,7
COMPOUND_f8dcc50644f5,Compound,3
COMPOUND_b80cf9101aad,Compound,10
COMPOUND_ec79ef21ed09,Compound,5
COMPOUND_20811ee37b5d,Compound,7
COMPOUND_073fa3a6a71f,Compound,8
COMPOUND_7bf90cf99e50,Compound,3
COMPOUND_c303e6c3e39b,Compound,4
COMPOUND_cc2df431b6eb,Compound,5
COMPOUND_3f72e8ba210b,Compound,10
COMPOUND_8e01bf7fcba4,Compound,13
COMPOUND_f8496d5b44cf,Compound,9
COMPOUND_469d25ddc65b,Compound,8
COMPOUND_b5928def5962,Compound,9
COMPOUND_cf8b8ee8302a,Compound,8
COMPOUND_9004ce399c2a,Compound,5
COMPOUND_72dbc3a95fef,Compound,8
COMPOUND_1dd467f7f991,Compound,7
COMPOUND_558ad70336f8,Compound,6
COMPOUND_71c41f10aca6,Compound,17
COMPOUND_d85ccf8aca8c,Compound,6
COMPOUND_6d9123c8993a,Compound,4
COMPOUND_049a21ae131b,Compound,7
COMPOUND_dfb598ee9b2f,Compound,10
COMPOUND_56237a7cf874,Compound,24
COMPOUND_a0901a576890,Compound,18
COMPOUND_ee468af67297,Compound,4
COMPOUND_149c147b0d93,Compound,14
COMPOUND_04fe87779405,Compound,13
COMPOUND_5cf2dbc6a293,Compound,28
COMPOUND_87dc236a64a3,Compound,8
COMPOUND_e87ce6b3a27b,Compound,10
COMPOUND_4d540add8c51,Compound,5
COMPOUND_bb49611aa259,Compound,11
COMPOUND_d8438fe1dea5,Compound,28
COMPOUND_fec3fa141c31,Compound,7
COMPOUND_74f13c20a26f,Compound,8
COMPOUND_e05e5cec2a2d,Compound,8
COMPOUND_b198011eb37b,Compound,6
COMPOUND_ebc3153baaef,Compound,18
COMPOUND_4532c1e7d544,Compound,16
COMPOUND_e2c55cf429c4,Compound,9
COMPOUND_f76c522781a2,Compound,3
COMPOUND_899cf06b47e4,Compound,6
COMPOUND_e14a6138b047,Compound,22
COMPOUND_e75db4b47277,Compound,11
COMPOUND_87ee03e63f60,Compound,6
COMPOUND_a3040ad64318,Compound,16
COMPOUND_3bcd8ad0daaf,Compound,5
COMPOUND_34176e1edb1b,Compound,10
COMPOUND_66c81a6de0b7,Compound,4
COMPOUND_642328155fbf,Compound,5
COMPOUND_3d95df452764,Compound,5
DISEASE_5e294e090c89,Disease,354
DISEASE_578708c54b66,Disease,605
DISEASE_42f9fa377b98,Disease,295
DISEASE_77eeb002dea4,Disease,989
DISEASE_49d327bd2471,Disease,352
DISEASE_093461e46ef0,Disease,214
DISEASE_b0f77e3c448f,Disease,301
