compound_id,true_target,target_type,rank,n_candidates,reciprocal_rank,hit_at_1,hit_at_5,hit_at_10
COMPOUND_ded323257a5c,DISEASE_578708c54b66,Disease,7.0,59,0.14285714285714285,0,0,1
COMPOUND_ded323257a5c,SYMPTOM_c6e23b2dca0c,Symptom,14.0,1921,0.07142857142857142,0,0,0
COMPOUND_ded323257a5c,SYMPTOM_ac7049227bb3,Symptom,68.0,1921,0.014705882352941176,0,0,0
COMPOUND_ded323257a5c,SYMPTOM_7e1aba55d500,Symptom,1640.0,1921,0.0006097560975609756,0,0,0
COMPOUND_ded323257a5c,SYMPTOM_dcbbe374bb72,Symptom,1786.0,1921,0.0005599104143337066,0,0,0
COMPOUND_47fe4ec9130d,SYMPTOM_7a90b536d862,Symptom,1175.0,1921,0.000851063829787234,0,0,0
COMPOUND_47fe4ec9130d,SYMPTOM_8be6245de13d,Symptom,59.0,1921,0.01694915254237288,0,0,0
COMPOUND_47fe4ec9130d,SYMPTOM_e7a84843ca2f,Symptom,1510.0,1921,0.0006622516556291391,0,0,0
COMPOUND_47fe4ec9130d,SYMPTOM_3467318ecdaa,Symptom,1708.0,1921,0.000585480093676815,0,0,0
COMPOUND_47fe4ec9130d,DISEASE_9fee7a39f2e6,Disease,10.0,59,0.1,0,0,1
COMPOUND_74a705b2ad84,SYMPTOM_947c70271d24,Symptom,19.0,1924,0.05263157894736842,0,0,0
COMPOUND_2716d44b7024,SYMPTOM_76ce1b842ce5,Symptom,40.0,1924,0.025,0,0,0
COMPOUND_34176e1edb1b,SYMPTOM_81a0ed82012a,Symptom,1515.0,1920,0.0006600660066006601,0,0,0
COMPOUND_34176e1edb1b,SYMPTOM_f8703b74a201,Symptom,61.0,1920,0.01639344262295082,0,0,0
COMPOUND_34176e1edb1b,DISEASE_b2a66b919818,Disease,3.0,59,0.3333333333333333,0,1,1
COMPOUND_34176e1edb1b,SYMPTOM_0a61ad588557,Symptom,6.0,1920,0.16666666666666666,0,0,1
COMPOUND_34176e1edb1b,SYMPTOM_7cb3341d65ed,Symptom,1499.0,1920,0.00066711140760507,0,0,0
COMPOUND_34176e1edb1b,SYMPTOM_15564a4455ce,Symptom,42.0,1920,0.023809523809523808,0,0,0
COMPOUND_b198011eb37b,SYMPTOM_94f15f526dc9,Symptom,1562.0,1924,0.0006402048655569782,0,0,0
COMPOUND_e05e5cec2a2d,DISEASE_5e294e090c89,Disease,6.0,59,0.16666666666666666,0,0,1
COMPOUND_e05e5cec2a2d,SYMPTOM_9cd2b457d359,Symptom,1585.0,1924,0.0006309148264984228,0,0,0
COMPOUND_5cf2dbc6a293,DISEASE_071459a0c2fd,Disease,13.0,57,0.07692307692307693,0,0,0
COMPOUND_5cf2dbc6a293,DISEASE_ef3323aa3b9e,Disease,1.0,57,1.0,1,1,1
COMPOUND_5cf2dbc6a293,SYMPTOM_ac4ac57a7b7f,Symptom,29.0,1923,0.034482758620689655,0,0,0
COMPOUND_5cf2dbc6a293,DISEASE_0ace1f8e701c,Disease,46.0,57,0.021739130434782608,0,0,0
COMPOUND_5cf2dbc6a293,SYMPTOM_6100966d0a2c,Symptom,22.0,1923,0.045454545454545456,0,0,0
COMPOUND_04fe87779405,SYMPTOM_0f70f3b506e2,Symptom,1857.0,1922,0.0005385029617662897,0,0,0
COMPOUND_04fe87779405,SYMPTOM_ee663d64b2ba,Symptom,1792.0,1922,0.0005580357142857143,0,0,0
COMPOUND_04fe87779405,SYMPTOM_d257d2808a69,Symptom,80.0,1922,0.0125,0,0,0
COMPOUND_149c147b0d93,SYMPTOM_c6e23b2dca0c,Symptom,13.0,1922,0.07692307692307693,0,0,0
COMPOUND_149c147b0d93,SYMPTOM_54697eb57628,Symptom,45.0,1922,0.022222222222222223,0,0,0
COMPOUND_149c147b0d93,SYMPTOM_7e1aba55d500,Symptom,1675.0,1922,0.0005970149253731343,0,0,0
COMPOUND_ee468af67297,SYMPTOM_685c0772c819,Symptom,36.0,1923,0.027777777777777776,0,0,0
COMPOUND_ee468af67297,SYMPTOM_ac4ac57a7b7f,Symptom,33.0,1923,0.030303030303030304,0,0,0
COMPOUND_469d25ddc65b,SYMPTOM_9a9214077697,Symptom,14.0,1923,0.07142857142857142,0,0,0
COMPOUND_469d25ddc65b,SYMPTOM_64c8aca0d1b5,Symptom,29.0,1923,0.034482758620689655,0,0,0
COMPOUND_3f72e8ba210b,SYMPTOM_15564a4455ce,Symptom,32.0,1924,0.03125,0,0,0
COMPOUND_558ad70336f8,SYMPTOM_078750ea56f7,Symptom,30.0,1924,0.03333333333333333,0,0,0
COMPOUND_02f3fd2897ea,SYMPTOM_240d81476af3,Symptom,25.0,1924,0.04,0,0,0
COMPOUND_5cbe8250fe43,SYMPTOM_c4b059814f9a,Symptom,27.0,1923,0.037037037037037035,0,0,0
COMPOUND_5cbe8250fe43,SYMPTOM_4d4f65befc86,Symptom,1810.0,1923,0.0005524861878453039,0,0,0
