compound_id,true_target,hard_negative,target_type
COMPOUND_806ebd096539,DISEASE_b2a66b919818,DISEASE_120d64215d86,Disease
COMPOUND_806ebd096539,DISEASE_b2a66b919818,DISEASE_33f32d4c3a5c,Disease
COMPOUND_806ebd096539,DISEASE_b2a66b919818,DISEASE_57750b73b487,Disease
COMPOUND_806ebd096539,DISEASE_b2a66b919818,DISEASE_66ce053b0c0b,Disease
COMPOUND_806ebd096539,DISEASE_b2a66b919818,DISEASE_800f3dcd7399,Disease
COMPOUND_806ebd096539,SYMPTOM_b219d93f90d0,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_806ebd096539,SYMPTOM_b219d93f90d0,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_806ebd096539,SYMPTOM_b219d93f90d0,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_806ebd096539,SYMPTOM_b219d93f90d0,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_806ebd096539,SYMPTOM_b219d93f90d0,SYMPTOM_1781e759516c,Symptom
COMPOUND_ac63052cee8e,SYMPTOM_b45199a35d0a,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_ac63052cee8e,SYMPTOM_b45199a35d0a,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_ac63052cee8e,SYMPTOM_b45199a35d0a,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_ac63052cee8e,SYMPTOM_b45199a35d0a,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_ac63052cee8e,SYMPTOM_b45199a35d0a,SYMPTOM_1781e759516c,Symptom
COMPOUND_ac63052cee8e,SYMPTOM_52b0760e3443,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_ac63052cee8e,SYMPTOM_52b0760e3443,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_ac63052cee8e,SYMPTOM_52b0760e3443,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_ac63052cee8e,SYMPTOM_52b0760e3443,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_ac63052cee8e,SYMPTOM_52b0760e3443,SYMPTOM_1781e759516c,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_8c8e9a9a5f8a,SYMPTOM_01a89e9be65b,Symptom
