source,target,relation,source_sheet,raw_source,raw_target,fold
COMPOUND_806ebd096539,DISEASE_b2a66b919818,TREATS,Compound-Treats relationship,अगस्तीप्राश,राजयक्ष्मा,1
COMPOUND_806ebd096539,SYMPTOM_b219d93f90d0,TREATS,Compound-Treats relationship,अगस्तीप्राश,हलीमक,1
COMPOUND_960b05ddaea9,DISEASE_578708c54b66,TREATS,Compound-Treats relationship,अभयावलेह,अम्लपित्त,0
COMPOUND_960b05ddaea9,SYMPTOM_b219d93f90d0,TREATS,Compound-Treats relationship,अभयावलेह,हलीमक,0
COMPOUND_ac63052cee8e,SYMPTOM_b45199a35d0a,TREATS,Compound-Treats relationship,अमृतप्राश घृत,उर:क्षत,2
COMPOUND_ac63052cee8e,SYMPTOM_52b0760e3443,TREATS,Compound-Treats relationship,अमृतप्राश घृत,क्षतक्षीण,2
COMPOUND_dac1a6903e58,SYMPTOM_8c8e9a9a5f8a,TREATS,Compound-Treats relationship,अमृतागुग्गुल,गृध्रसी,2
COMPOUND_dac1a6903e58,SYMPTOM_a12879b9590a,TREATS,Compound-Treats relationship,अमृतागुग्गुल,संधिगतवात,2
COMPOUND_dac1a6903e58,SYMPTOM_ac4ac57a7b7f,TREATS,Compound-Treats relationship,अमृतागुग्गुल,वातरक्त,2
COMPOUND_dac1a6903e58,SYMPTOM_0a61ad588557,TREATS,Compound-Treats relationship,अमृतागुग्गुल,वातव्याधि,2
COMPOUND_ded323257a5c,DISEASE_578708c54b66,TREATS,Compound-Treats relationship,अभयारिष्ट,अम्लपित्त,4
COMPOUND_ded323257a5c,SYMPTOM_c6e23b2dca0c,TREATS,Compound-Treats relationship,अभयारिष्ट,आध्मान,4
COMPOUND_ded323257a5c,SYMPTOM_ac7049227bb3,TREATS,Compound-Treats relationship,अभयारिष्ट,उदर,4
COMPOUND_ded323257a5c,SYMPTOM_7e1aba55d500,TREATS,Compound-Treats relationship,अभयारिष्ट,प्रत्याध्मान,4
COMPOUND_ded323257a5c,SYMPTOM_dcbbe374bb72,TREATS,Compound-Treats relationship,अभयारिष्ट,मलावंष्टभ,4
COMPOUND_47fe4ec9130d,SYMPTOM_7a90b536d862,TREATS,Compound-Treats relationship,अमृतधारा,उदावर्त,4
COMPOUND_47fe4ec9130d,SYMPTOM_8be6245de13d,TREATS,Compound-Treats relationship,अमृतधारा,हिक्का,4
COMPOUND_47fe4ec9130d,SYMPTOM_e7a84843ca2f,TREATS,Compound-Treats relationship,अमृतधारा,प्रतितूनी,4
COMPOUND_47fe4ec9130d,SYMPTOM_3467318ecdaa,TREATS,Compound-Treats relationship,अमृतधारा,तूनी,4
COMPOUND_47fe4ec9130d,DISEASE_9fee7a39f2e6,TREATS,Compound-Treats relationship,अमृतधारा,छर्दि,4
COMPOUND_5adc4b7903fe,SYMPTOM_49ad1743fb5b,TREATS,Compound-Treats relationship,अमृतप्राश घृत जीवक,उरःक्षत,2
COMPOUND_5adc4b7903fe,SYMPTOM_52b0760e3443,TREATS,Compound-Treats relationship,अमृतप्राश घृत जीवक,क्षतक्षीण,2
COMPOUND_960b05ddaea9,SYMPTOM_aa118956afd8,TREATS,Compound-Treats relationship,अभयावलेह,हलीमक.,0
COMPOUND_8951771cfa60,SYMPTOM_8c8e9a9a5f8a,TREATS,Compound-Treats relationship,अमृतागुग्गुलु,गृध्रसी,2
COMPOUND_8951771cfa60,SYMPTOM_a12879b9590a,TREATS,Compound-Treats relationship,अमृतागुग्गुलु,संधिगतवात,2
COMPOUND_8951771cfa60,SYMPTOM_0a61ad588557,TREATS,Compound-Treats relationship,अमृतागुग्गुलु,वातव्याधि,2
COMPOUND_8951771cfa60,SYMPTOM_ac4ac57a7b7f,TREATS,Compound-Treats relationship,अमृतागुग्गुलु,वातरक्त,2
COMPOUND_dca0e66d520e,SYMPTOM_de00827d7e8e,TREATS,Compound-Treats relationship,अष्टांग लवण चूर्ण,अग्निमांद्य,3
COMPOUND_dca0e66d520e,DISEASE_42f9fa377b98,TREATS,Compound-Treats relationship,अष्टांग लवण चूर्ण,अरोचक,3
COMPOUND_3b9dcc40035b,SYMPTOM_ac7049227bb3,TREATS,Compound-Treats relationship,अश्वकंचुकी,उदर,0
COMPOUND_74a705b2ad84,SYMPTOM_947c70271d24,TREATS,Compound-Treats relationship,क्षारताम्ररस,ग्रहणी,4
COMPOUND_2716d44b7024,SYMPTOM_76ce1b842ce5,TREATS,Compound-Treats relationship,अहिफेनासव,निद्रानाश,4
COMPOUND_3bcd8ad0daaf,SYMPTOM_15564a4455ce,TREATS,Compound-Treats relationship,हृदयार्णव रस,हृद्रोग,2
COMPOUND_3d95df452764,DISEASE_e2f37d4a7296,TREATS,Compound-Treats relationship,हेमाभ्रसिंदूर,शोथ,1
COMPOUND_3d95df452764,SYMPTOM_15564a4455ce,TREATS,Compound-Treats relationship,हेमाभ्रसिंदूर,हृद्रोग,1
COMPOUND_642328155fbf,SYMPTOM_64c8aca0d1b5,TREATS,Compound-Treats relationship,हेमाभ्रकर्पूर,श्वास,3
COMPOUND_642328155fbf,SYMPTOM_15564a4455ce,TREATS,Compound-Treats relationship,हेमाभ्रकर्पूर,हृद्रोग,3
COMPOUND_66c81a6de0b7,DISEASE_e2f37d4a7296,TREATS,Compound-Treats relationship,हेमशिलाजतु,शोथ,3
COMPOUND_66c81a6de0b7,SYMPTOM_15564a4455ce,TREATS,Compound-Treats relationship,हेमशिलाजतु,हृद्रोग,3
COMPOUND_34176e1edb1b,SYMPTOM_81a0ed82012a,TREATS,Compound-Treats relationship,हेमगर्भ,"आक्षेपक,",4
COMPOUND_34176e1edb1b,SYMPTOM_f8703b74a201,TREATS,Compound-Treats relationship,हेमगर्भ,पार्श्वशूल,4
COMPOUND_34176e1edb1b,DISEASE_b2a66b919818,TREATS,Compound-Treats relationship,हेमगर्भ,राजयक्ष्मा,4
COMPOUND_34176e1edb1b,SYMPTOM_0a61ad588557,TREATS,Compound-Treats relationship,हेमगर्भ,वातव्याधि,4
COMPOUND_34176e1edb1b,SYMPTOM_7cb3341d65ed,TREATS,Compound-Treats relationship,हेमगर्भ,सिरागतवात,4
COMPOUND_34176e1edb1b,SYMPTOM_15564a4455ce,TREATS,Compound-Treats relationship,हेमगर्भ,हृद्रोग,4
COMPOUND_a3040ad64318,SYMPTOM_de00827d7e8e,TREATS,Compound-Treats relationship,हिंग्वाष्टक चूर्ण,अग्निमांद्य,1
COMPOUND_a3040ad64318,SYMPTOM_9a9214077697,TREATS,Compound-Treats relationship,हिंग्वाष्टक चूर्ण,कास,1
COMPOUND_a3040ad64318,SYMPTOM_b4b1fb71c52c,TREATS,Compound-Treats relationship,हिंग्वाष्टक चूर्ण,अजीर्ण,1
COMPOUND_a3040ad64318,SYMPTOM_99158dd7f146,TREATS,Compound-Treats relationship,हिंग्वाष्टक चूर्ण,गुल्म,1
COMPOUND_a3040ad64318,SYMPTOM_b0a86039f54f,TREATS,Compound-Treats relationship,हिंग्वाष्टक चूर्ण,वातनिरोधज उदावर्त,1
COMPOUND_a3040ad64318,SYMPTOM_0a61ad588557,TREATS,Compound-Treats relationship,हिंग्वाष्टक चूर्ण,वातव्याधि,1
